Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.02  423968/1336097     camlFormula_wl__update_1098 [7]
                0.00    0.04  909828/1336097     camlFormula_wl__aux_1094 [14]
[10]    38.5    0.00    0.06 1336097         caml_equal [10]
                0.05    0.01 1336097/1358626     compare_val [9]
-----------------------------------------------
                0.00    0.05      39/39          caml_call_gc [13]
[11]    34.2    0.00    0.05      39         caml_garbage_collection [11]
                0.00    0.05      39/39          caml_minor_collection [12]
                0.00    0.00      39/55          caml_process_pending_signals [124]
-----------------------------------------------
                0.00    0.05      39/39          caml_garbage_collection [11]
[12]    34.2    0.00    0.05      39         caml_minor_collection [12]
                0.00    0.04      78/78          caml_empty_minor_heap [15]
                0.00    0.01      39/39          caml_major_collection_slice [22]
                0.00    0.00      39/39          caml_final_do_calls [126]
-----------------------------------------------
                                                 <spontaneous>
[13]    34.2    0.00    0.05                 caml_call_gc [13]
                0.00    0.05      39/39          caml_garbage_collection [11]
-----------------------------------------------
                0.00    0.04  423968/423968      camlFormula_wl__update_1098 [7]
[14]    29.8    0.00    0.04  423968         camlFormula_wl__aux_1094 [14]
                0.00    0.04  909828/1336097     caml_equal [10]
                0.01    0.00 1054030/1949122     camlLiteral__id_of_literal_1042 [31]
                0.00    0.00 1054030/1064034     camlLiteral__neg_1039 [85]
-----------------------------------------------
                0.00    0.04      78/78          caml_minor_collection [12]
[15]    26.7    0.00    0.04      78         caml_empty_minor_heap [15]
                0.01    0.02      39/39          caml_oldify_mopup [16]
                0.01    0.00   92603/327268      caml_oldify_one [17]
                0.00    0.00      39/39          caml_oldify_local_roots [46]
                0.00    0.00      78/392         caml_gc_message [116]
                0.00    0.00      78/78          caml_final_empty_young [123]
-----------------------------------------------
                0.01    0.02      39/39          caml_empty_minor_heap [15]
[16]    21.0    0.01    0.02      39         caml_oldify_mopup [16]
                0.01    0.01  233881/327268      caml_oldify_one [17]
-----------------------------------------------
                0.00    0.00      39/327268      caml_iterate_global_roots [55]
                0.00    0.00     745/327268      caml_oldify_local_roots [46]
                0.01    0.00   92603/327268      caml_empty_minor_heap [15]
                0.01    0.01  233881/327268      caml_oldify_mopup [16]
[17]    20.0    0.02    0.01  327268         caml_oldify_one [17]
                0.01    0.00  299804/299827      caml_alloc_shr [27]
-----------------------------------------------
                0.00    0.03       1/1           camlMain__main_1083 [4]
[18]    17.9    0.00    0.03       1         camlParsing__yyparse_1071 [18]
                0.00    0.03       1/1           camlParsing__loop_1076 [19]
                0.00    0.00       2/1131365     caml_modify [48]
-----------------------------------------------
                0.00    0.03       1/1           camlParsing__yyparse_1071 [18]
[19]    17.9    0.00    0.03       1         camlParsing__loop_1076 [19]
                0.00    0.02   47113/47113       camlLexer____ocaml_lex_main_rec_1010 [21]
                0.00    0.01       5/5           camlParsing__grow_stacks_1061 [32]
                0.00    0.00   47117/47117       caml_parse_engine [54]
                0.00    0.00   45066/1131365     caml_modify [48]
                0.00    0.00   47113/47113       camlLexer__main_1009 [91]
                0.00    0.00   20480/20480       camlParser__fun_1058 [102]
                0.00    0.00    2048/2048        camlParser__fun_1054 [107]
                0.00    0.00    2048/2048        camlParser__fun_1056 [108]
                0.00    0.00       1/1           camlParser__fun_1060 [191]
                0.00    0.00       1/1           camlParser__fun_1050 [189]
                0.00    0.00       1/1           camlParser__fun_1052 [190]
-----------------------------------------------
                0.00    0.02     512/512         camlDpll__solve_1045 [5]
[20]    15.0    0.00    0.02     512         camlDpll__unstack_1050 [20]
                0.00    0.02     511/1534        camlFormula_wl__setLiteral_1076 [6]
                0.00    0.00    1534/1534        camlFormula_wl__forgetLiteral_1106 [52]
                0.00    0.00    1534/1534        camlStack__pop_1019 [75]
                0.00    0.00     511/1131365     caml_modify [48]
                0.00    0.00    2045/5253        caml_apply2 [103]
                0.00    0.00    1022/1064034     camlLiteral__neg_1039 [85]
-----------------------------------------------
                0.00    0.02   47113/47113       camlParsing__loop_1076 [19]
[21]    13.3    0.00    0.02   47113         camlLexer____ocaml_lex_main_rec_1010 [21]
                0.01    0.00   47231/47231       camlLexing__engine_1041 [24]
                0.00    0.01   22530/22530       caml_int_of_string [29]
                0.00    0.00   22530/22530       camlLexing__sub_lexeme_1077 [98]
                0.00    0.00     118/118         camlLexing__lex_refill_1051 [120]
                0.00    0.00     118/118         camlLexing__fun_1126 [118]
-----------------------------------------------
                0.00    0.01      39/39          caml_minor_collection [12]
[22]     7.5    0.00    0.01      39         caml_major_collection_slice [22]
                0.01    0.00      15/15          mark_slice [23]
                0.00    0.00       7/7           start_cycle [51]
                0.00    0.00     234/392         caml_gc_message [116]
                0.00    0.00      24/24          sweep_slice [131]
                0.00    0.00       6/6           caml_compact_heap_maybe [140]
-----------------------------------------------
                0.01    0.00      15/15          caml_major_collection_slice [22]
[23]     7.5    0.01    0.00      15         mark_slice [23]
                0.00    0.00  499529/4036159     caml_page_table_lookup [26]
                0.00    0.00      30/392         caml_gc_message [116]
                0.00    0.00       6/6           caml_final_update [142]
                0.00    0.00       6/7           caml_fl_init_merge [138]
                0.00    0.00       1/1           realloc_gray_vals [232]
-----------------------------------------------
                0.01    0.00   47231/47231       camlLexer____ocaml_lex_main_rec_1010 [21]
[24]     6.7    0.01    0.00   47231         camlLexing__engine_1041 [24]
